iteration,status,elapsed_s,dopant_type,dopant_percent,n_layers,vacancy_percent,n_doping_percent,hor_activity,h2_barrier,o2_barrier,shell_stability,failure_reason,unc_h2_barrier_std,unc_o2_barrier_std,unc_h2_confident,unc_energy_std,recipe_available,synthesis_feasibility
0,success,0.03538870811462402,Co,0.0,1,16.0,8.0,-0.48602700885875677,0.5984154990246443,0.5526298355424959,0.9063429469461817,constraint_violation,0.1099964958741836,0.23407219972248483,False,0.00046011631496980447,True,MEDIUM
1,success,0.02892899513244629,Mo,30.0,3,4.0,0.0,-0.3266107723250481,0.6088756421415478,0.530829147647144,0.8750348352417509,constraint_violation,0.06650029330082559,0.16852984232602924,True,0.0009146157077219436,True,MEDIUM
2,success,0.022380828857421875,Fe,30.0,2,0.0,4.0,-0.40031233954678275,0.4752936308202849,0.35161509839271804,0.8327704660221276,constraint_violation,0.06806346266584164,0.17218583189201753,True,0.0011201449064411056,True,MEDIUM
3,success,0.013317584991455078,none,15.0,1,18.0,6.0,-0.4223900788988626,0.37160174648239197,0.3764282960891893,0.9749383004814304,constraint_violation,0.10715021500249983,0.2604319535134326,False,0.0008113459997413406,True,MEDIUM
4,success,0.024263381958007812,Fe,20.0,2,8.0,10.0,-0.378561823575279,0.5877431158888012,0.4204014731717156,0.9957765196704107,constraint_violation,0.18406633378960105,0.26176431749865037,False,0.0008073543635049938,True,MEDIUM
5,success,0.01602768898010254,Co,30.0,1,6.0,6.0,-0.42301459609473235,0.41192216993731146,0.3663015267946876,0.7257281354473992,constraint_violation,0.2679245094227673,0.15208911349943746,False,0.0006028964996779427,True,MEDIUM
6,success,0.02746748924255371,none,0.0,3,4.0,0.0,-0.42785302936322755,0.5782546626340896,0.6452683540041784,0.8741456928661699,constraint_violation,0.07973180518251113,0.08920640037757738,True,0.0009395437363762471,True,MEDIUM
7,success,0.01927471160888672,none,25.0,2,10.0,8.0,-0.4410577797962598,0.5470079269853764,0.5268117597556697,0.829311663339561,constraint_violation,0.12765891646058283,0.10771932848003371,False,0.0008531887592053456,True,MEDIUM
8,success,0.016655921936035156,Mo,1.8873050227373267,1,1.0516032872215408,5.261718968547618,-0.48268906465334926,0.4548616909804335,0.4184528784762514,0.8390915375573667,constraint_violation,0.1358899497627623,0.22934223757187314,False,0.0009328518548143534,True,MEDIUM
9,success,0.033470869064331055,Fe,28.657071007474247,3,1.6708673750573566,1.3264067215369857,-0.3791967032596866,0.5031727939818162,0.22397231819275784,0.7089993490503498,constraint_violation,0.25795917933063467,0.06455367818573378,False,0.00020012993732888436,True,MEDIUM
